TwitterIDsOfHumanUsers,#Friends,#BotFollowees
1662847039,146,18
343307517,199,18
714240744,314,18
2545139917,256,18
1590506935,271,18
93821152,128,18
354010930,324,18
2767502085,343,18
353261938,288,18
122047987,333,18
536512353,189,18
393480403,197,18
309564645,373,18
3033627449,129,18
1010894497,323,18
212261532,254,18
889730977,378,18
305476548,282,18
1375854145,311,18
581407038,193,18
48460955,263,18
129013638,266,18
1128650791,310,18
1438656991,251,18
264133279,250,18
129586152,231,18
551894180,355,18
131273125,104,17
2886504237,229,17
15367428,268,17
84543942,172,17
121683806,169,17
145422178,237,17
632368135,163,17
294182639,100,17
2731681,159,17
3286661012,236,17
889616856,375,17
23770754,191,17
2725164703,337,17
2375973638,153,17
18433843,352,17
2445845880,285,17
2402922414,251,17
512362882,148,17
956387852,387,17
1038384050,143,17
2618119582,303,17
25046383,194,17
364545427,204,17
236486106,352,17
2182527116,66,17
400008688,310,17
2975968796,134,17
2402411230,380,17
2307249169,327,17
1087095313,248,17
372841412,205,17
977161033,362,17
195413637,182,17
2408316429,256,17
1089449275,265,17
632503479,86,17
241278533,195,17
36559020,293,17
122428644,378,17
100933746,200,17
548938182,201,17
37889070,383,17
55592032,285,17
899934248,205,17
770676152,208,17
776337842,217,17
587515464,200,17
783908516,344,17
303061039,257,16
333412049,297,16
332447134,343,16
329285009,376,16
3180501039,338,16
315478329,310,16
1105238581,166,16
44604091,141,16
1279603333,153,16
1320810841,290,16
132128902,96,16
1908684955,179,16
173788566,148,16
135111235,58,16
1365254774,329,16
138322603,254,16
1372316628,263,16
144207876,372,16
872703248,187,16
583205235,199,16
434832805,195,16
415848343,192,16
404612694,203,16
393255100,216,16
373579998,213,16
223840972,274,16
949432574,208,16
159931202,162,16
95748016,207,16
43775439,348,16
2837952412,354,16
229758375,301,16
2293511256,104,16
252688673,299,16
21965624,217,16
242850274,194,16
2654027174,46,16
26967415,350,16
907187028,280,16
763095612,276,16
276837866,268,16
629661106,373,16
621741580,335,16
2846002106,338,16
57616787,216,16
49977491,225,16
471203497,392,16
380662905,284,16
37060280,258,16
3027627954,91,16
708043502,329,15
72314987,349,15
154477852,342,15
1607335778,367,15
402866477,379,15
1936513045,312,15
341339579,174,15
212724606,291,15
338966793,282,15
368540321,239,15
2250794221,172,15
171422343,283,15
272911207,205,15
225241810,247,15
566141260,108,15
358976197,184,15
69310149,205,15
1832476196,284,15
564751387,202,15
271277112,244,15
2943103386,138,15
96586973,367,15
6618042,217,15
43476480,263,15
759916501,389,15
2819670100,196,15
1151295038,178,15
252686122,195,15
2662011020,328,15
1073409068,183,15
31648644,243,15
626145415,248,15
2827521307,174,15
292577710,287,15
1072217274,373,15
1021876490,294,15
395890746,79,15
614770385,253,15
350160058,254,15
1534422504,384,15
429262110,321,15
485137549,226,15
934949900,188,15
2325931652,218,15
348393966,288,15
439972535,304,15
157604170,300,15
2281787582,224,15
157809852,235,15
2411403787,61,15
160883386,119,15
11630862,289,15
523521363,332,15
55769013,305,15
2595483597,329,15
1965789655,233,15
525408377,200,15
122185782,172,15
982398253,172,14
743585972,387,14
2788405899,271,14
714301764,247,14
47610275,303,14
2805643019,289,14
67367320,266,14
754656198,174,14
495020496,259,14
612924270,126,14
597381176,256,14
497125259,121,14
506501965,155,14
1144070936,356,14
545516275,351,14
406923780,193,14
19300510,361,14
296465140,277,14
350114766,328,14
613523546,198,14
835249056,118,14
2502597096,205,14
174430412,287,14
174256925,295,14
330202919,377,14
400748069,131,14
3054738993,261,14
1020696912,245,14
21345227,327,14
3280135166,138,14
552190256,136,14
136799314,344,14
1688566994,140,14
258228815,299,14
11174562,300,14
2969720312,166,14
2965142314,251,14
